facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,review_note
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,Leeds Headingley Kerbside - UKA00527,1396,53.819971999290644,-1.5763609997630645,11.001,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,25,34,0,5,64,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,Leeds Centre - UKA00222,2523,53.80377999962352,-1.54647200030493,12.607,co;no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,22,35,0,5,62,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,Leeds Headingley Kerbside - UKA00527,1396,53.819971999290644,-1.5763609997630645,17.417,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,13,34,0,5,52,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,Leeds Centre - UKA00222,2523,53.80377999962352,-1.54647200030493,18.732,co;no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,11,35,0,5,51,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,SL-AG-001(Bardsey),6247129,53.88994,-1.4395,7.539,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,31,12,0,5,48,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allerton Waste Recovery Park,allerton_waste_recovery_park,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,SL-AG-001(Bardsey),6247129,53.88994,-1.4395,9.744,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,27,12,0,5,44,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,West Farleigh,3123123,51.23649525729965,0.4518779047706621,3.427,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Tim | United Kingdom | Europe/London,38,24,0,5,67,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,West Farleigh,3123123,51.23649525729965,0.4518779047706621,7.226,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Tim | United Kingdom | Europe/London,31,24,0,5,60,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,Chatham Roadside - UKA00553,2560,51.374263999538954,0.5479700002695834,16.384,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Chatham | Europe/London,15,34,0,5,54,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,Chatham Roadside - UKA00553,2560,51.374263999538954,0.5479700002695834,23.375,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Chatham | Europe/London,2,34,0,5,41,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
